name,category,occasion,relationship,interests,personality,price,description
Sketching Pencil Set - Edition 3,Art,Christmas,Partner,art painting drawing creativity,"Techie, Practical",1120,"Sketching Pencil Set - Edition 3, curated for art lovers and suitable for christmas gifting."
Sketching Pencil Set - Edition 4,Art,Friendship Day,Best Friend,art painting drawing creativity,"Classic, Sentimental",1280,"Sketching Pencil Set - Edition 4, curated for art lovers and suitable for friendship day gifting."
Sketching Pencil Set - Edition 5,Art,Wedding,Friend,art painting drawing creativity,"Creative, Sentimental",1440,"Sketching Pencil Set - Edition 5, curated for art lovers and suitable for wedding gifting."
Sketching Pencil Set - Edition 6,Art,Promotion,Sibling,art painting drawing creativity,"Romantic, Stylish",1600,"Sketching Pencil Set - Edition 6, curated for art lovers and suitable for promotion gifting."
Sketching Pencil Set - Edition 7,Art,Thank You,Parent,art painting drawing creativity,"Practical, Minimalist",1760,"Sketching Pencil Set - Edition 7, curated for art lovers and suitable for thank you gifting."
Personalized Portrait Illustration - Edition 1,Art,Farewell,Partner,art painting drawing creativity,"Funny, Trendy",800,"Personalized Portrait Illustration - Edition 1, curated for art lovers and suitable for farewell gifting."
Personalized Portrait Illustration - Edition 2,Art,Christmas,Best Friend,art painting drawing creativity,"Techie, Practical",960,"Personalized Portrait Illustration - Edition 2, curated for art lovers and suitable for christmas gifting."
Personalized Portrait Illustration - Edition 3,Art,Friendship Day,Friend,art painting drawing creativity,"Classic, Sentimental",1120,"Personalized Portrait Illustration - Edition 3, curated for art lovers and suitable for friendship day gifting."
Personalized Portrait Illustration - Edition 4,Art,Wedding,Sibling,art painting drawing creativity,"Creative, Sentimental",1280,"Personalized Portrait Illustration - Edition 4, curated for art lovers and suitable for wedding gifting."
Personalized Portrait Illustration - Edition 5,Art,Promotion,Parent,art painting drawing creativity,"Romantic, Stylish",1440,"Personalized Portrait Illustration - Edition 5, curated for art lovers and suitable for promotion gifting."
Personalized Portrait Illustration - Edition 6,Art,Thank You,Family,art painting drawing creativity,"Practical, Minimalist",1600,"Personalized Portrait Illustration - Edition 6, curated for art lovers and suitable for thank you gifting."
Personalized Portrait Illustration - Edition 7,Art,Just Because,Colleague,art painting drawing creativity,"Adventurous, Extroverted",1760,"Personalized Portrait Illustration - Edition 7, curated for art lovers and suitable for just because gifting."
Mandala Coloring Book - Edition 1,Art,Christmas,Friend,art painting drawing creativity,"Techie, Practical",800,"Mandala Coloring Book - Edition 1, curated for art lovers and suitable for christmas gifting."
Mandala Coloring Book - Edition 2,Art,Friendship Day,Sibling,art painting drawing creativity,"Classic, Sentimental",960,"Mandala Coloring Book - Edition 2, curated for art lovers and suitable for friendship day gifting."
Mandala Coloring Book - Edition 3,Art,Wedding,Parent,art painting drawing creativity,"Creative, Sentimental",1120,"Mandala Coloring Book - Edition 3, curated for art lovers and suitable for wedding gifting."
Mandala Coloring Book - Edition 4,Art,Promotion,Family,art painting drawing creativity,"Romantic, Stylish",1280,"Mandala Coloring Book - Edition 4, curated for art lovers and suitable for promotion gifting."
Mandala Coloring Book - Edition 5,Art,Thank You,Colleague,art painting drawing creativity,"Practical, Minimalist",1440,"Mandala Coloring Book - Edition 5, curated for art lovers and suitable for thank you gifting."
Mandala Coloring Book - Edition 6,Art,Just Because,Classmate,art painting drawing creativity,"Adventurous, Extroverted",1600,"Mandala Coloring Book - Edition 6, curated for art lovers and suitable for just because gifting."
Mandala Coloring Book - Edition 7,Art,Birthday,Mentor,art painting drawing creativity,"Introverted, Intellectual",1760,"Mandala Coloring Book - Edition 7, curated for art lovers and suitable for birthday gifting."
Calligraphy Art Kit - Edition 1,Art,Friendship Day,Parent,art painting drawing creativity,"Classic, Sentimental",800,"Calligraphy Art Kit - Edition 1, curated for art lovers and suitable for friendship day gifting."
Calligraphy Art Kit - Edition 2,Art,Wedding,Family,art painting drawing creativity,"Creative, Sentimental",960,"Calligraphy Art Kit - Edition 2, curated for art lovers and suitable for wedding gifting."
Calligraphy Art Kit - Edition 3,Art,Promotion,Colleague,art painting drawing creativity,"Romantic, Stylish",1120,"Calligraphy Art Kit - Edition 3, curated for art lovers and suitable for promotion gifting."
Calligraphy Art Kit - Edition 4,Art,Thank You,Classmate,art painting drawing creativity,"Practical, Minimalist",1280,"Calligraphy Art Kit - Edition 4, curated for art lovers and suitable for thank you gifting."
Calligraphy Art Kit - Edition 5,Art,Just Because,Mentor,art painting drawing creativity,"Adventurous, Extroverted",1440,"Calligraphy Art Kit - Edition 5, curated for art lovers and suitable for just because gifting."
Calligraphy Art Kit - Edition 6,Art,Birthday,Partner,art painting drawing creativity,"Introverted, Intellectual",1600,"Calligraphy Art Kit - Edition 6, curated for art lovers and suitable for birthday gifting."
Calligraphy Art Kit - Edition 7,Art,Anniversary,Best Friend,art painting drawing creativity,"Funny, Trendy",1760,"Calligraphy Art Kit - Edition 7, curated for art lovers and suitable for anniversary gifting."
Paint by Numbers Kit - Edition 1,Art,Wedding,Colleague,art painting drawing creativity,"Creative, Sentimental",800,"Paint by Numbers Kit - Edition 1, curated for art lovers and suitable for wedding gifting."
Paint by Numbers Kit - Edition 2,Art,Promotion,Classmate,art painting drawing creativity,"Romantic, Stylish",960,"Paint by Numbers Kit - Edition 2, curated for art lovers and suitable for promotion gifting."
Paint by Numbers Kit - Edition 3,Art,Thank You,Mentor,art painting drawing creativity,"Practical, Minimalist",1120,"Paint by Numbers Kit - Edition 3, curated for art lovers and suitable for thank you gifting."
Paint by Numbers Kit - Edition 4,Art,Just Because,Partner,art painting drawing creativity,"Adventurous, Extroverted",1280,"Paint by Numbers Kit - Edition 4, curated for art lovers and suitable for just because gifting."
Paint by Numbers Kit - Edition 5,Art,Birthday,Best Friend,art painting drawing creativity,"Introverted, Intellectual",1440,"Paint by Numbers Kit - Edition 5, curated for art lovers and suitable for birthday gifting."
Paint by Numbers Kit - Edition 6,Art,Anniversary,Friend,art painting drawing creativity,"Funny, Trendy",1600,"Paint by Numbers Kit - Edition 6, curated for art lovers and suitable for anniversary gifting."
Paint by Numbers Kit - Edition 7,Art,Valentines Day,Sibling,art painting drawing creativity,"Techie, Practical",1760,"Paint by Numbers Kit - Edition 7, curated for art lovers and suitable for valentines day gifting."
Classic Novel Gift Edition - Edition 1,Books,Anniversary,Best Friend,books reading literature learning,"Romantic, Stylish",500,"Classic Novel Gift Edition - Edition 1, curated for books lovers and suitable for anniversary gifting."
Classic Novel Gift Edition - Edition 2,Books,Valentines Day,Friend,books reading literature learning,"Practical, Minimalist",600,"Classic Novel Gift Edition - Edition 2, curated for books lovers and suitable for valentines day gifting."
Classic Novel Gift Edition - Edition 3,Books,Graduation,Sibling,books reading literature learning,"Adventurous, Extroverted",700,"Classic Novel Gift Edition - Edition 3, curated for books lovers and suitable for graduation gifting."
Classic Novel Gift Edition - Edition 4,Books,Housewarming,Parent,books reading literature learning,"Introverted, Intellectual",800,"Classic Novel Gift Edition - Edition 4, curated for books lovers and suitable for housewarming gifting."
Classic Novel Gift Edition - Edition 5,Books,Farewell,Family,books reading literature learning,"Funny, Trendy",900,"Classic Novel Gift Edition - Edition 5, curated for books lovers and suitable for farewell gifting."
Classic Novel Gift Edition - Edition 6,Books,Christmas,Colleague,books reading literature learning,"Techie, Practical",1000,"Classic Novel Gift Edition - Edition 6, curated for books lovers and suitable for christmas gifting."
Classic Novel Gift Edition - Edition 7,Books,Friendship Day,Classmate,books reading literature learning,"Classic, Sentimental",1100,"Classic Novel Gift Edition - Edition 7, curated for books lovers and suitable for friendship day gifting."
Personal Growth Book Set - Edition 1,Books,Valentines Day,Sibling,books reading literature learning,"Practical, Minimalist",500,"Personal Growth Book Set - Edition 1, curated for books lovers and suitable for valentines day gifting."
Personal Growth Book Set - Edition 2,Books,Graduation,Parent,books reading literature learning,"Adventurous, Extroverted",600,"Personal Growth Book Set - Edition 2, curated for books lovers and suitable for graduation gifting."
Personal Growth Book Set - Edition 3,Books,Housewarming,Family,books reading literature learning,"Introverted, Intellectual",700,"Personal Growth Book Set - Edition 3, curated for books lovers and suitable for housewarming gifting."
Personal Growth Book Set - Edition 4,Books,Farewell,Colleague,books reading literature learning,"Funny, Trendy",800,"Personal Growth Book Set - Edition 4, curated for books lovers and suitable for farewell gifting."
Personal Growth Book Set - Edition 5,Books,Christmas,Classmate,books reading literature learning,"Techie, Practical",900,"Personal Growth Book Set - Edition 5, curated for books lovers and suitable for christmas gifting."
Personal Growth Book Set - Edition 6,Books,Friendship Day,Mentor,books reading literature learning,"Classic, Sentimental",1000,"Personal Growth Book Set - Edition 6, curated for books lovers and suitable for friendship day gifting."
Personal Growth Book Set - Edition 7,Books,Wedding,Partner,books reading literature learning,"Creative, Sentimental",1100,"Personal Growth Book Set - Edition 7, curated for books lovers and suitable for wedding gifting."
Mystery Novel Collection - Edition 1,Books,Graduation,Family,books reading literature learning,"Adventurous, Extroverted",500,"Mystery Novel Collection - Edition 1, curated for books lovers and suitable for graduation gifting."
Mystery Novel Collection - Edition 2,Books,Housewarming,Colleague,books reading literature learning,"Introverted, Intellectual",600,"Mystery Novel Collection - Edition 2, curated for books lovers and suitable for housewarming gifting."
Mystery Novel Collection - Edition 3,Books,Farewell,Classmate,books reading literature learning,"Funny, Trendy",700,"Mystery Novel Collection - Edition 3, curated for books lovers and suitable for farewell gifting."
Mystery Novel Collection - Edition 4,Books,Christmas,Mentor,books reading literature learning,"Techie, Practical",800,"Mystery Novel Collection - Edition 4, curated for books lovers and suitable for christmas gifting."
Mystery Novel Collection - Edition 5,Books,Friendship Day,Partner,books reading literature learning,"Classic, Sentimental",900,"Mystery Novel Collection - Edition 5, curated for books lovers and suitable for friendship day gifting."
Mystery Novel Collection - Edition 6,Books,Wedding,Best Friend,books reading literature learning,"Creative, Sentimental",1000,"Mystery Novel Collection - Edition 6, curated for books lovers and suitable for wedding gifting."
Mystery Novel Collection - Edition 7,Books,Promotion,Friend,books reading literature learning,"Romantic, Stylish",1100,"Mystery Novel Collection - Edition 7, curated for books lovers and suitable for promotion gifting."
Poetry Anthology - Edition 1,Books,Housewarming,Classmate,books reading literature learning,"Introverted, Intellectual",500,"Poetry Anthology - Edition 1, curated for books lovers and suitable for housewarming gifting."
Poetry Anthology - Edition 2,Books,Farewell,Mentor,books reading literature learning,"Funny, Trendy",600,"Poetry Anthology - Edition 2, curated for books lovers and suitable for farewell gifting."
Poetry Anthology - Edition 3,Books,Christmas,Partner,books reading literature learning,"Techie, Practical",700,"Poetry Anthology - Edition 3, curated for books lovers and suitable for christmas gifting."
Poetry Anthology - Edition 4,Books,Friendship Day,Best Friend,books reading literature learning,"Classic, Sentimental",800,"Poetry Anthology - Edition 4, curated for books lovers and suitable for friendship day gifting."
Poetry Anthology - Edition 5,Books,Wedding,Friend,books reading literature learning,"Creative, Sentimental",900,"Poetry Anthology - Edition 5, curated for books lovers and suitable for wedding gifting."
Poetry Anthology - Edition 6,Books,Promotion,Sibling,books reading literature learning,"Romantic, Stylish",1000,"Poetry Anthology - Edition 6, curated for books lovers and suitable for promotion gifting."
Poetry Anthology - Edition 7,Books,Thank You,Parent,books reading literature learning,"Practical, Minimalist",1100,"Poetry Anthology - Edition 7, curated for books lovers and suitable for thank you gifting."
Coffee Table Photography Book - Edition 1,Books,Farewell,Partner,books reading literature learning,"Funny, Trendy",500,"Coffee Table Photography Book - Edition 1, curated for books lovers and suitable for farewell gifting."
Coffee Table Photography Book - Edition 2,Books,Christmas,Best Friend,books reading literature learning,"Techie, Practical",600,"Coffee Table Photography Book - Edition 2, curated for books lovers and suitable for christmas gifting."
Coffee Table Photography Book - Edition 3,Books,Friendship Day,Friend,books reading literature learning,"Classic, Sentimental",700,"Coffee Table Photography Book - Edition 3, curated for books lovers and suitable for friendship day gifting."
Coffee Table Photography Book - Edition 4,Books,Wedding,Sibling,books reading literature learning,"Creative, Sentimental",800,"Coffee Table Photography Book - Edition 4, curated for books lovers and suitable for wedding gifting."
Coffee Table Photography Book - Edition 5,Books,Promotion,Parent,books reading literature learning,"Romantic, Stylish",900,"Coffee Table Photography Book - Edition 5, curated for books lovers and suitable for promotion gifting."
Coffee Table Photography Book - Edition 6,Books,Thank You,Family,books reading literature learning,"Practical, Minimalist",1000,"Coffee Table Photography Book - Edition 6, curated for books lovers and suitable for thank you gifting."
Coffee Table Photography Book - Edition 7,Books,Just Because,Colleague,books reading literature learning,"Adventurous, Extroverted",1100,"Coffee Table Photography Book - Edition 7, curated for books lovers and suitable for just because gifting."
Cookbook Gift Edition - Edition 1,Books,Christmas,Friend,books reading literature learning,"Techie, Practical",500,"Cookbook Gift Edition - Edition 1, curated for books lovers and suitable for christmas gifting."
Cookbook Gift Edition - Edition 2,Books,Friendship Day,Sibling,books reading literature learning,"Classic, Sentimental",600,"Cookbook Gift Edition - Edition 2, curated for books lovers and suitable for friendship day gifting."
Cookbook Gift Edition - Edition 3,Books,Wedding,Parent,books reading literature learning,"Creative, Sentimental",700,"Cookbook Gift Edition - Edition 3, curated for books lovers and suitable for wedding gifting."
Cookbook Gift Edition - Edition 4,Books,Promotion,Family,books reading literature learning,"Romantic, Stylish",800,"Cookbook Gift Edition - Edition 4, curated for books lovers and suitable for promotion gifting."
Cookbook Gift Edition - Edition 5,Books,Thank You,Colleague,books reading literature learning,"Practical, Minimalist",900,"Cookbook Gift Edition - Edition 5, curated for books lovers and suitable for thank you gifting."
Cookbook Gift Edition - Edition 6,Books,Just Because,Classmate,books reading literature learning,"Adventurous, Extroverted",1000,"Cookbook Gift Edition - Edition 6, curated for books lovers and suitable for just because gifting."
Cookbook Gift Edition - Edition 7,Books,Birthday,Mentor,books reading literature learning,"Introverted, Intellectual",1100,"Cookbook Gift Edition - Edition 7, curated for books lovers and suitable for birthday gifting."
Travel Stories Collection - Edition 1,Books,Friendship Day,Parent,books reading literature learning,"Classic, Sentimental",500,"Travel Stories Collection - Edition 1, curated for books lovers and suitable for friendship day gifting."
Travel Stories Collection - Edition 2,Books,Wedding,Family,books reading literature learning,"Creative, Sentimental",600,"Travel Stories Collection - Edition 2, curated for books lovers and suitable for wedding gifting."
Travel Stories Collection - Edition 3,Books,Promotion,Colleague,books reading literature learning,"Romantic, Stylish",700,"Travel Stories Collection - Edition 3, curated for books lovers and suitable for promotion gifting."
Travel Stories Collection - Edition 4,Books,Thank You,Classmate,books reading literature learning,"Practical, Minimalist",800,"Travel Stories Collection - Edition 4, curated for books lovers and suitable for thank you gifting."
Travel Stories Collection - Edition 5,Books,Just Because,Mentor,books reading literature learning,"Adventurous, Extroverted",900,"Travel Stories Collection - Edition 5, curated for books lovers and suitable for just because gifting."
Travel Stories Collection - Edition 6,Books,Birthday,Partner,books reading literature learning,"Introverted, Intellectual",1000,"Travel Stories Collection - Edition 6, curated for books lovers and suitable for birthday gifting."
Travel Stories Collection - Edition 7,Books,Anniversary,Best Friend,books reading literature learning,"Funny, Trendy",1100,"Travel Stories Collection - Edition 7, curated for books lovers and suitable for anniversary gifting."
Science Book Set - Edition 1,Books,Wedding,Colleague,books reading literature learning,"Creative, Sentimental",500,"Science Book Set - Edition 1, curated for books lovers and suitable for wedding gifting."
Science Book Set - Edition 2,Books,Promotion,Classmate,books reading literature learning,"Romantic, Stylish",600,"Science Book Set - Edition 2, curated for books lovers and suitable for promotion gifting."
Science Book Set - Edition 3,Books,Thank You,Mentor,books reading literature learning,"Practical, Minimalist",700,"Science Book Set - Edition 3, curated for books lovers and suitable for thank you gifting."
Science Book Set - Edition 4,Books,Just Because,Partner,books reading literature learning,"Adventurous, Extroverted",800,"Science Book Set - Edition 4, curated for books lovers and suitable for just because gifting."
Science Book Set - Edition 5,Books,Birthday,Best Friend,books reading literature learning,"Introverted, Intellectual",900,"Science Book Set - Edition 5, curated for books lovers and suitable for birthday gifting."
Science Book Set - Edition 6,Books,Anniversary,Friend,books reading literature learning,"Funny, Trendy",1000,"Science Book Set - Edition 6, curated for books lovers and suitable for anniversary gifting."
Science Book Set - Edition 7,Books,Valentines Day,Sibling,books reading literature learning,"Techie, Practical",1100,"Science Book Set - Edition 7, curated for books lovers and suitable for valentines day gifting."
Premium Skincare Gift Set - Edition 1,Beauty,Anniversary,Best Friend,skincare beauty self care wellness,"Romantic, Stylish",900,"Premium Skincare Gift Set - Edition 1, curated for skincare lovers and suitable for anniversary gifting."
Premium Skincare Gift Set - Edition 2,Beauty,Valentines Day,Friend,skincare beauty self care wellness,"Practical, Minimalist",1080,"Premium Skincare Gift Set - Edition 2, curated for skincare lovers and suitable for valentines day gifting."
Premium Skincare Gift Set - Edition 3,Beauty,Graduation,Sibling,skincare beauty self care wellness,"Adventurous, Extroverted",1260,"Premium Skincare Gift Set - Edition 3, curated for skincare lovers and suitable for graduation gifting."
Premium Skincare Gift Set - Edition 4,Beauty,Housewarming,Parent,skincare beauty self care wellness,"Introverted, Intellectual",1440,"Premium Skincare Gift Set - Edition 4, curated for skincare lovers and suitable for housewarming gifting."
Premium Skincare Gift Set - Edition 5,Beauty,Farewell,Family,skincare beauty self care wellness,"Funny, Trendy",1620,"Premium Skincare Gift Set - Edition 5, curated for skincare lovers and suitable for farewell gifting."
Premium Skincare Gift Set - Edition 6,Beauty,Christmas,Colleague,skincare beauty self care wellness,"Techie, Practical",1800,"Premium Skincare Gift Set - Edition 6, curated for skincare lovers and suitable for christmas gifting."
Premium Skincare Gift Set - Edition 7,Beauty,Friendship Day,Classmate,skincare beauty self care wellness,"Classic, Sentimental",1980,"Premium Skincare Gift Set - Edition 7, curated for skincare lovers and suitable for friendship day gifting."
Self Care Bath Set - Edition 1,Beauty,Valentines Day,Sibling,skincare beauty self care wellness,"Practical, Minimalist",900,"Self Care Bath Set - Edition 1, curated for skincare lovers and suitable for valentines day gifting."
Self Care Bath Set - Edition 2,Beauty,Graduation,Parent,skincare beauty self care wellness,"Adventurous, Extroverted",1080,"Self Care Bath Set - Edition 2, curated for skincare lovers and suitable for graduation gifting."
Self Care Bath Set - Edition 3,Beauty,Housewarming,Family,skincare beauty self care wellness,"Introverted, Intellectual",1260,"Self Care Bath Set - Edition 3, curated for skincare lovers and suitable for housewarming gifting."
Self Care Bath Set - Edition 4,Beauty,Farewell,Colleague,skincare beauty self care wellness,"Funny, Trendy",1440,"Self Care Bath Set - Edition 4, curated for skincare lovers and suitable for farewell gifting."
Self Care Bath Set - Edition 5,Beauty,Christmas,Classmate,skincare beauty self care wellness,"Techie, Practical",1620,"Self Care Bath Set - Edition 5, curated for skincare lovers and suitable for christmas gifting."
Self Care Bath Set - Edition 6,Beauty,Friendship Day,Mentor,skincare beauty self care wellness,"Classic, Sentimental",1800,"Self Care Bath Set - Edition 6, curated for skincare lovers and suitable for friendship day gifting."
Self Care Bath Set - Edition 7,Beauty,Wedding,Partner,skincare beauty self care wellness,"Creative, Sentimental",1980,"Self Care Bath Set - Edition 7, curated for skincare lovers and suitable for wedding gifting."
Lip Care Collection - Edition 1,Beauty,Graduation,Family,skincare beauty self care wellness,"Adventurous, Extroverted",900,"Lip Care Collection - Edition 1, curated for skincare lovers and suitable for graduation gifting."
Lip Care Collection - Edition 2,Beauty,Housewarming,Colleague,skincare beauty self care wellness,"Introverted, Intellectual",1080,"Lip Care Collection - Edition 2, curated for skincare lovers and suitable for housewarming gifting."
Lip Care Collection - Edition 3,Beauty,Farewell,Classmate,skincare beauty self care wellness,"Funny, Trendy",1260,"Lip Care Collection - Edition 3, curated for skincare lovers and suitable for farewell gifting."
Lip Care Collection - Edition 4,Beauty,Christmas,Mentor,skincare beauty self care wellness,"Techie, Practical",1440,"Lip Care Collection - Edition 4, curated for skincare lovers and suitable for christmas gifting."
Lip Care Collection - Edition 5,Beauty,Friendship Day,Partner,skincare beauty self care wellness,"Classic, Sentimental",1620,"Lip Care Collection - Edition 5, curated for skincare lovers and suitable for friendship day gifting."
Lip Care Collection - Edition 6,Beauty,Wedding,Best Friend,skincare beauty self care wellness,"Creative, Sentimental",1800,"Lip Care Collection - Edition 6, curated for skincare lovers and suitable for wedding gifting."
Lip Care Collection - Edition 7,Beauty,Promotion,Friend,skincare beauty self care wellness,"Romantic, Stylish",1980,"Lip Care Collection - Edition 7, curated for skincare lovers and suitable for promotion gifting."
Body Care Gift Box - Edition 1,Beauty,Housewarming,Classmate,skincare beauty self care wellness,"Introverted, Intellectual",900,"Body Care Gift Box - Edition 1, curated for skincare lovers and suitable for housewarming gifting."
Body Care Gift Box - Edition 2,Beauty,Farewell,Mentor,skincare beauty self care wellness,"Funny, Trendy",1080,"Body Care Gift Box - Edition 2, curated for skincare lovers and suitable for farewell gifting."
Body Care Gift Box - Edition 3,Beauty,Christmas,Partner,skincare beauty self care wellness,"Techie, Practical",1260,"Body Care Gift Box - Edition 3, curated for skincare lovers and suitable for christmas gifting."
Body Care Gift Box - Edition 4,Beauty,Friendship Day,Best Friend,skincare beauty self care wellness,"Classic, Sentimental",1440,"Body Care Gift Box - Edition 4, curated for skincare lovers and suitable for friendship day gifting."
Body Care Gift Box - Edition 5,Beauty,Wedding,Friend,skincare beauty self care wellness,"Creative, Sentimental",1620,"Body Care Gift Box - Edition 5, curated for skincare lovers and suitable for wedding gifting."
Body Care Gift Box - Edition 6,Beauty,Promotion,Sibling,skincare beauty self care wellness,"Romantic, Stylish",1800,"Body Care Gift Box - Edition 6, curated for skincare lovers and suitable for promotion gifting."
Body Care Gift Box - Edition 7,Beauty,Thank You,Parent,skincare beauty self care wellness,"Practical, Minimalist",1980,"Body Care Gift Box - Edition 7, curated for skincare lovers and suitable for thank you gifting."
Aromatherapy Set - Edition 1,Beauty,Farewell,Partner,skincare beauty self care wellness,"Funny, Trendy",900,"Aromatherapy Set - Edition 1, curated for skincare lovers and suitable for farewell gifting."
Aromatherapy Set - Edition 2,Beauty,Christmas,Best Friend,skincare beauty self care wellness,"Techie, Practical",1080,"Aromatherapy Set - Edition 2, curated for skincare lovers and suitable for christmas gifting."
Aromatherapy Set - Edition 3,Beauty,Friendship Day,Friend,skincare beauty self care wellness,"Classic, Sentimental",1260,"Aromatherapy Set - Edition 3, curated for skincare lovers and suitable for friendship day gifting."
Aromatherapy Set - Edition 4,Beauty,Wedding,Sibling,skincare beauty self care wellness,"Creative, Sentimental",1440,"Aromatherapy Set - Edition 4, curated for skincare lovers and suitable for wedding gifting."
Aromatherapy Set - Edition 5,Beauty,Promotion,Parent,skincare beauty self care wellness,"Romantic, Stylish",1620,"Aromatherapy Set - Edition 5, curated for skincare lovers and suitable for promotion gifting."
Aromatherapy Set - Edition 6,Beauty,Thank You,Family,skincare beauty self care wellness,"Practical, Minimalist",1800,"Aromatherapy Set - Edition 6, curated for skincare lovers and suitable for thank you gifting."
Aromatherapy Set - Edition 7,Beauty,Just Because,Colleague,skincare beauty self care wellness,"Adventurous, Extroverted",1980,"Aromatherapy Set - Edition 7, curated for skincare lovers and suitable for just because gifting."
Hand Care Kit - Edition 1,Beauty,Christmas,Friend,skincare beauty self care wellness,"Techie, Practical",900,"Hand Care Kit - Edition 1, curated for skincare lovers and suitable for christmas gifting."
Hand Care Kit - Edition 2,Beauty,Friendship Day,Sibling,skincare beauty self care wellness,"Classic, Sentimental",1080,"Hand Care Kit - Edition 2, curated for skincare lovers and suitable for friendship day gifting."
Hand Care Kit - Edition 3,Beauty,Wedding,Parent,skincare beauty self care wellness,"Creative, Sentimental",1260,"Hand Care Kit - Edition 3, curated for skincare lovers and suitable for wedding gifting."
Hand Care Kit - Edition 4,Beauty,Promotion,Family,skincare beauty self care wellness,"Romantic, Stylish",1440,"Hand Care Kit - Edition 4, curated for skincare lovers and suitable for promotion gifting."
